Date,Open,High,Low,Close,Volume
2026-01-14,2800.0,2879.5,2784.0,2879.5,61539800
2026-01-15,2880.0,2976.5,2867.5,2964.0,72532500
2026-01-16,2980.0,3015.0,2965.0,2990.0,59690800
2026-01-19,2971.5,2975.0,2924.0,2953.0,46016800
2026-01-20,2964.5,2965.0,2921.0,2934.0,38085700
2026-01-21,2873.0,2880.0,2828.0,2831.5,60186900
2026-01-22,2882.5,2896.0,2817.5,2817.5,41165400
2026-01-23,2824.0,2868.5,2815.5,2835.5,37452100
2026-01-26,2739.0,2788.0,2730.0,2730.0,52322600
2026-01-27,2734.0,2771.5,2712.0,2771.5,37732900
2026-01-28,2745.0,2768.5,2728.0,2750.0,30463300
2026-01-29,2771.5,2789.5,2726.0,2776.5,38157400
2026-01-30,2785.0,2811.0,2757.0,2804.5,37132200
2026-02-02,2854.5,2855.0,2744.0,2744.0,47757300
2026-02-03,2822.5,2882.5,2810.0,2882.5,47872000
2026-02-04,2884.0,2952.0,2862.5,2949.5,51396400
2026-02-05,2947.5,2948.0,2854.0,2879.5,65223800
2026-02-06,2813.0,2951.5,2803.0,2951.5,51896100
2026-02-09,3050.0,3050.0,2952.5,2957.5,65327300
2026-02-10,3000.0,3057.0,2993.5,3034.0,67748200
2026-02-12,3027.0,3087.0,3008.0,3085.0,49949500
2026-02-13,3015.0,3045.0,2993.0,3003.0,50999100
2026-02-16,3000.0,3001.0,2906.0,2911.0,45947500
2026-02-17,2911.0,2946.0,2876.5,2876.5,34987900
2026-02-18,2942.5,2969.5,2925.5,2951.5,33765000
2026-02-19,2961.0,3009.0,2955.0,3009.0,34207100
2026-02-20,2979.5,2980.0,2926.0,2942.0,35869200
2026-02-24,2907.5,2912.5,2881.0,2888.0,40737100
2026-02-25,2888.0,2889.0,2809.0,2831.0,51226600
2026-02-26,2880.0,2928.5,2877.0,2925.0,40451100
2026-02-27,2934.5,2968.5,2913.0,2968.5,55827300
2026-03-02,2822.5,2865.0,2787.0,2820.0,71277500
2026-03-03,2808.5,2846.0,2772.0,2775.0,62903500
2026-03-04,2692.0,2740.0,2598.5,2644.5,79335300
2026-03-05,2745.0,2788.0,2712.0,2735.0,56480400
2026-03-06,2696.0,2759.5,2693.5,2759.5,38919200
2026-03-09,2579.0,2676.5,2572.0,2665.0,67658800
2026-03-10,2715.0,2753.0,2692.5,2721.5,52005900
2026-03-11,2738.0,2763.0,2684.5,2684.5,38213800
2026-03-12,2677.0,2678.5,2606.0,2654.0,42805800
2026-03-13,2592.0,2660.0,2591.0,2656.0,40555600
2026-03-16,2624.5,2643.0,2601.5,2634.0,37108500
2026-03-17,2670.0,2695.0,2636.5,2659.5,26731700
2026-03-18,2695.0,2736.0,2683.5,2731.0,37616500
2026-03-19,2690.0,2716.5,2670.0,2686.0,39731200
2026-03-23,2551.0,2578.0,2521.0,2564.5,55478800
2026-03-24,2614.5,2644.5,2596.5,2639.0,33656700
2026-03-25,2718.0,2733.0,2694.0,2718.5,39608800
2026-03-26,2739.0,2740.0,2678.5,2700.5,27929800
2026-03-27,2641.995580110497,2684.377900552486,2638.053038674033,2676.0,44413200
2026-03-30,2599.0,2632.0,2572.0,2621.0,48044300
2026-03-31,2575.0,2683.0,2573.0,2600.0,42510300
2026-04-01,2710.0,2813.5,2691.0,2808.0,54819500
2026-04-02,2841.0,2844.0,2732.0,2760.0,46325800
2026-04-03,2781.0,2790.0,2753.0,2761.5,22632900
2026-04-06,2778.5,2815.5,2770.0,2792.0,27808200
2026-04-07,2800.0,2827.0,2787.5,2811.0,25886900
2026-04-08,2930.0,2932.5,2865.0,2885.0,57129700
2026-04-09,2896.0,2903.0,2830.5,2842.5,35140500
2026-04-10,2851.0,2882.5,2842.0,2842.0,33552100
2026-04-13,2847.5,2891.5,2829.0,2860.0,30503200
2026-04-14,2889.5,2889.5,2825.0,2850.0,38689000
2026-04-15,2866.0,2919.0,2865.0,2913.5,48273800
2026-04-16,2935.0,2966.5,2932.0,2946.5,42419100
2026-04-17,2920.0,2926.0,2847.0,2870.0,40793100
2026-04-20,2885.0,2894.5,2866.0,2870.5,24113800
2026-04-21,2879.5,2880.5,2830.5,2830.5,30217100
2026-04-22,2820.0,2824.0,2772.0,2794.0,38846200
2026-04-23,2794.0,2807.5,2728.0,2752.0,35144800
